sample_id,trajectory_id,path_type,sequence_length,entry_count,path_executable,solvable_on_path,transition_statuses,next_model_ids,eval_applied_model_sequence,reasoning_success,final_answer_correct,failure_reason,reasoning_failure_reason,raw_failure_reason,failure_bucket,curve_type,query_type,num_eval_steps,initial_heuristic_entropy,final_heuristic_entropy,mean_heuristic_entropy,heuristic_entropy_delta,heuristic_monotonicity_rate,initial_learned_entropy,final_learned_entropy,mean_learned_entropy,learned_entropy_delta,learned_monotonicity_rate
55,model:35:model,model,5,6,False,False,initial|success|success|failed|success|success,5|21|61|24|13,21,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Eccentricity,1,0.764,0.3305,0.43125,0.4335,1.0,0.91514312,0.0751507,0.47143548,0.83999242,1.0
55,random:35:random_0,random,5,6,False,False,initial|failed|failed|success|failed|success,4|13|56|70|24,21,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Eccentricity,1,0.764,0.5605,0.71758333,0.2035,1.0,0.91514312,0.19036833,0.56081856,0.72477479,1.0
96,correct:60:correct,correct,2,3,True,True,initial|success|success,5|1,1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Value,1,0.773,0.394,0.52283333,0.379,1.0,0.88199002,0.50786394,0.67927839,0.37412608,1.0
96,model:60:model,model,2,3,True,False,initial|success|success,5|1,1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Value,1,0.773,0.394,0.52283333,0.379,1.0,0.88199002,0.50786394,0.67927839,0.37412608,1.0
96,random:60:random_0,random,2,3,False,False,initial|failed|failed,33|76,1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Value,1,0.773,0.758,0.7655,0.015,1.0,0.88199002,0.60175551,0.74187276,0.28023451,1.0
208,model:134:model,model,4,5,False,False,initial|failed|failed|failed|failed,5|21|61|13,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Eccentricity,15,0.764,0.734,0.749,0.03,1.0,0.96312187,0.40265285,0.68288736,0.56046902,1.0
208,random:134:random_0,random,4,5,False,False,initial|failed|failed|failed|failed,70|29|13|66,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Eccentricity,15,0.764,0.734,0.749,0.03,1.0,0.96312187,0.40265285,0.68288736,0.56046902,1.0
221,model:143:model,model,2,3,False,False,initial|failed|failed,5|12,65|65|65|65|65|65|65|65|65|65|65|65|65|65|65,True,True,,,,correct,Hyperbola,Value,15,0.791,0.776,0.7835,0.015,1.0,0.83077386,0.55053935,0.69065661,0.28023451,1.0
221,random:143:random_0,random,2,3,False,False,initial|failed|failed,4|68,65|65|65|65|65|65|65|65|65|65|65|65|65|65|65,True,True,,,,correct,Hyperbola,Value,15,0.791,0.776,0.7835,0.015,1.0,0.83077386,0.55053935,0.69065661,0.28023451,1.0
248,correct:161:correct,correct,5,6,True,True,initial|success|success|success|success|success,3|0|32|57|13,13,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Eccentricity,1,0.764,0.3145,0.42858333,0.4495,1.0,0.93890131,0.07615161,0.49140079,0.8627497,1.0
248,model:161:model,model,5,6,True,False,initial|success|success|success|success|success,3|0|32|57|13,13,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Eccentricity,1,0.764,0.3145,0.42858333,0.4495,1.0,0.93890131,0.07615161,0.49140079,0.8627497,1.0
248,random:161:random_0,random,5,6,False,False,initial|failed|failed|failed|failed|failed,4|77|19|32|63,13,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Eccentricity,1,0.764,0.7265,0.74525,0.0375,1.0,0.93890131,0.23831503,0.58860817,0.70058628,1.0
265,model:172:model,model,6,7,False,False,initial|success|success|failed|success|failed|failed,5|1|0|75|49|53,1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Value,1,0.773,0.364,0.4385,0.409,1.0,0.88199002,0.0,0.38867478,0.88199002,1.0
265,random:172:random_0,random,6,7,False,False,initial|failed|success|failed|failed|success|success,4|65|29|61|24|65,1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Value,1,0.773,0.487,0.6105,0.286,1.0,0.88199002,0.0,0.43643201,0.88199002,1.0
267,model:174:model,model,5,6,False,False,initial|success|success|failed|failed|success,5|1|0|49|13,1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Eccentricity,1,0.773,0.3395,0.44558333,0.4335,1.0,0.93031194,0.09031953,0.49419007,0.83999241,1.0
267,random:174:random_0,random,5,6,False,False,initial|failed|failed|success|success|failed,52|22|65|43|24,1,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Eccentricity,1,0.773,0.6695,0.72125,0.1035,1.0,0.93031194,0.20649131,0.56840163,0.72382063,1.0
360,correct:236:correct,correct,4,5,True,True,initial|success|success|success|success,7|2|29|68,62|62|62|62|62|62|62|62|62|62|62|62|62|62|62,False,False,max_steps,max_steps,Reached max steps (15),max_steps,Parabola,Value,15,0.746,0.475,0.54,0.271,1.0,0.98087175,0.33612375,0.64058528,0.644748,1.0
360,model:236:model,model,4,5,True,False,initial|success|success|success|success,7|2|29|68,62|62|62|62|62|62|62|62|62|62|62|62|62|62|62,False,False,max_steps,max_steps,Reached max steps (15),max_steps,Parabola,Value,15,0.746,0.475,0.54,0.271,1.0,0.98087175,0.33612375,0.64058528,0.644748,1.0
360,random:236:random_0,random,4,5,False,False,initial|failed|failed|failed|success,24|29|76|41,62|62|62|62|62|62|62|62|62|62|62|62|62|62|62,False,False,max_steps,max_steps,Reached max steps (15),max_steps,Parabola,Value,15,0.746,0.716,0.731,0.03,1.0,0.98087175,0.42040272,0.70063723,0.56046903,1.0
380,model:251:model,model,2,3,False,False,initial|failed|failed,6|21,65|65|65|65|65|65|65|65|65|65|65|65|65|65|65,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Equation,15,0.841,0.826,0.8335,0.015,1.0,0.81287184,0.53263732,0.67275458,0.28023452,1.0
380,random:251:random_0,random,2,3,False,False,initial|failed|failed,6|57,65|65|65|65|65|65|65|65|65|65|65|65|65|65|65,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Equation,15,0.841,0.826,0.8335,0.015,1.0,0.81287184,0.53263732,0.67275458,0.28023452,1.0
391,correct:258:correct,correct,5,6,True,True,initial|success|success|success|success|success,7|78|42|43|62,2|29|29|29|29|29|29|29|29|29|29|29|29|29|29,True,False,answer_mismatch,,,answer_mismatch,Parabola,Value,15,0.773,0.4945,0.55341667,0.2785,1.0,0.88319827,0.15531335,0.51015627,0.72788492,1.0
391,model:258:model,model,5,6,True,False,initial|success|success|success|success|success,7|78|42|43|62,2|29|29|29|29|29|29|29|29|29|29|29|29|29|29,True,False,answer_mismatch,,,answer_mismatch,Parabola,Value,15,0.773,0.4945,0.55341667,0.2785,1.0,0.88319827,0.15531335,0.51015627,0.72788492,1.0
391,random:258:random_0,random,5,6,False,False,initial|success|success|success|failed|failed,56|78|2|32|54,2|29|29|29|29|29|29|29|29|29|29|29|29|29|29,True,False,answer_mismatch,,,answer_mismatch,Parabola,Value,15,0.773,0.7355,0.75425,0.0375,1.0,0.88319827,0.18261199,0.53290513,0.70058628,1.0
465,correct:312:correct,correct,3,4,True,True,initial|success|success|success,5|21|13,21,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Equation,1,0.791,0.3635,0.49425,0.4275,1.0,0.81239476,0.23746803,0.51283715,0.57492673,1.0
465,model:312:model,model,3,4,True,False,initial|success|success|success,5|21|13,21,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Equation,1,0.791,0.3635,0.49425,0.4275,1.0,0.81239476,0.23746803,0.51283715,0.57492673,1.0
